alpha,beta,gamma,delta
-0.2514962014393462,-0.24842005591888086,7.211792491080686,7.905634632252831
-0.2563506724555428,-0.23317937951891224,7.412034088245753,7.848649553458828
-0.2520936436797112,-0.23892633957408935,7.911876471672273,7.4133854031347175
-0.23485728158449107,-0.25242706906163653,8.11726476406979,7.213664889995358
-0.26140177171337875,-0.2303873252288689,7.863712470208923,7.5028352140123475
-0.2567455982275132,-0.2427073299414873,7.644354724186212,7.758880936178517
-0.23850240967649358,-0.23740204096524145,7.340950857127956,7.627088609101561
-0.23542284858193352,-0.25099085274003524,7.058780949087883,7.69378585230702
-0.2497620855840168,-0.25186562604169643,7.043673966821545,7.934197681810241
-0.2181976772947371,-0.25527779429217506,6.756351849955009,8.246769164513706
-0.26108532247665933,-0.269141444577325,8.1078745252422,7.551984343014813
-0.26108532247665933,-0.269141444577325,8.1078745252422,7.551984343014813
-0.22946126833519248,-0.24335767843025302,7.526736886259479,7.368530275384631
-0.2661933290707176,-0.2523861106225515,7.205930903169908,8.14537107452418
-0.24727749795537654,-0.2310021435568733,6.637686388621143,8.320756370251097
-0.25710793327542025,-0.23831079524181814,6.46520726475965,8.321395355334822
-0.24270861693384757,-0.24358232015976014,8.411557586632584,7.018735222550954
-0.2642845087212944,-0.2335851269267358,7.242953459136251,8.101606105088116
-0.26981017712224953,-0.24121210350735103,8.040490994777155,7.6461454922001995
-0.24519690954869688,-0.2708491232622004,7.311625273791017,7.968971168643048
-0.24897933578929032,-0.24675801705717676,7.4221378934015,7.932634202701078
-0.24002170120852298,-0.26197075679131515,7.298028195164971,7.688427278595206
-0.24635046210548492,-0.27869560100021984,8.082692569459127,7.7996244416613605
-0.24645014165889909,-0.20889072850825968,7.448840088723909,7.582214441972965
-0.24779986724024203,-0.2147901875698704,7.1965489081927325,7.295959011932392
-0.21289476707319135,-0.24740974722088843,7.75148542386008,7.410933449936747
-0.2320785436742645,-0.22115026117232228,8.243006753193722,6.257843569823833
-0.2260166260751259,-0.24738162246040146,7.558705789452357,7.280076600466021
-0.24072542264579666,-0.2665486744410348,7.396460499344727,7.7181397542742225
-0.2362832223425211,-0.22806964372860913,7.416536970794947,7.392990486692275
-0.25487028989040383,-0.26163463309138824,8.074760988507228,7.539801454794279
-0.24857916528039878,-0.22732763419373794,7.1585535165718115,7.747790885509268
-0.26109543338679975,-0.23743775814868168,6.911113456260138,8.408988085536054
-0.23614948739649996,-0.21766851206940924,6.576470452178196,8.056247177434864
-0.2612178332406092,-0.2826499762846651,8.257234430705362,7.489563821561705
-0.25286424077644837,-0.20568353860441893,6.974035284475855,7.397290960121617
-0.26742486077829764,-0.20031860429217566,7.069289965414072,7.459630034306398
-0.2593888966315811,-0.2016352692721264,7.573410889955626,7.27582844838966
-0.2590831143103034,-0.22202688520524907,8.023675769678846,7.131417182861864
-0.25863389693053135,-0.25407761363236914,8.013560888974192,7.396174775213903
-0.23590579293656955,-0.2416710527800107,7.082067226606225,7.902653069567654
-0.2609337823927103,-0.2086868951525924,7.960182913065598,7.276627499649274
-0.24744754738061797,-0.27930949852239934,7.56262271676405,7.768316602815481
-0.24396979225070073,-0.2830040310804476,7.779001063804846,7.966289895246911
-0.24195898003404484,-0.2768648564779164,7.484825152592634,7.931196279452569
-0.23238268207612642,-0.2881160936054085,7.232199773830723,8.435134498818307
-0.26249366299142773,-0.2592251748275707,7.479784264079241,8.134568685934836
-0.24444580395124899,-0.2855738861922997,7.216866254919209,8.5775382249069
-0.24889135549954566,-0.21565399514212952,7.489283061271328,7.196135069877946
-0.24232513940495182,-0.22726550514810814,7.436639427992618,7.558269799222233
-0.24712317357471067,-0.26370297888024397,7.63196820891595,7.602050147306233
-0.23295394759445712,-0.2448333916576724,8.071357181079623,7.121298627044906
-0.21994900712293955,-0.2687010615409508,6.781755526813134,7.851518596741498
-0.22639456878148068,-0.24089712248890818,7.1753296500196155,7.653796960653423
-0.22412055016456106,-0.293685186820795,8.386930880779046,7.205663305176843
-0.21193723139245516,-0.2600372977245116,7.258540606603218,7.791187915782385
-0.20274186038555775,-0.2593685449868349,7.194853801021573,7.709828477431992
-0.20554935676510733,-0.26133407888358295,7.160944670901967,7.482533865835128
-0.21024112639844014,-0.284966228991893,7.655456100687905,7.6382696067371265
-0.2079390883989276,-0.2544231683274164,7.5552943145881395,7.643324873714926
-0.2606400837026117,-0.20183746990874665,7.660236237193374,6.86274373892704
-0.24073803085862322,-0.20403218890532138,7.954905600652359,6.892140269805361
-0.24872059430921958,-0.2743874575262257,7.148736732609681,8.139326222517868
-0.2561293878464361,-0.2516423606489461,7.920664008533012,7.3794217725383655
-0.2561293878464361,-0.2516423606489461,7.920664008533012,7.3794217725383655
-0.23808778801139965,-0.24916312274725935,7.185434004961214,7.9044407121252656
-0.26064816831785637,-0.2374852337262758,7.773744994006097,7.597936736273121
-0.2609834180855354,-0.2424283982801357,7.407159686750295,7.721366829814737
-0.24665840839940656,-0.23971885068241583,8.14499843122068,7.336364575756495
-0.22345826266020774,-0.2624154007438246,7.429432175519288,7.354713713344417
-0.2339443384754773,-0.24209079715709708,7.689841116471391,7.0645643044895685
-0.24820667275888134,-0.2400172710215558,7.511254778638531,7.659762805559175
-0.2544907629550058,-0.21433715269293943,7.1266589139528325,7.745154263303781
-0.2544907629550058,-0.21433715269293943,7.1266589139528325,7.745154263303781
-0.23950519873884116,-0.22460666550007732,7.187915492175679,7.546990746027496
-0.2828230437394359,-0.2415542194068713,8.535035162636484,7.153999781626564
-0.25610825813166227,-0.21754317620192312,8.0082302288108,6.784841591503374
-0.25033355789494566,-0.23179249004504865,7.377770278491537,7.608195169868715
-0.2507340959984229,-0.2628084042620763,7.639499704217387,7.785996975162006
-0.23867676639409344,-0.24172753851122253,7.456060716522877,7.234794780709743
-0.25636555123912647,-0.21401774687660766,7.669104229908331,7.421976779298098
-0.24806401898953276,-0.23536712423286124,7.641890063146706,7.349119021376963
-0.24341881214460753,-0.23195239773611212,7.560171631627027,7.569030104151569
-0.2393600731109427,-0.25747485433469647,7.602163829111694,7.755828284069742
-0.2514146240460209,-0.22739468210332472,7.956093901153984,7.423844292707165
-0.23515298819082023,-0.26342621563062274,7.671133281512288,8.007307629431196
-0.2379153811012702,-0.26978972767098874,7.834492429087336,7.521032274889211
-0.2127530540476222,-0.24983706225435628,7.504812071879914,7.074089831645982
-0.2348089411607135,-0.24603054549734302,7.211130303376509,7.99867612863194
-0.25317259758377736,-0.26301754329731863,7.578151217902661,7.767729552336056
-0.24857642703434857,-0.23764544779401964,7.567039748677586,7.343886645000194
-0.265754580840481,-0.2188639620083629,8.460591581996823,6.832298724413937
-0.265754580840481,-0.2188639620083629,8.460591581996823,6.832298724413937
-0.23014151799587396,-0.2692680535420373,6.7597076571866355,8.493951797612405
-0.23702206652166177,-0.26506706713321126,7.077553679839356,8.24838737503501
-0.26124456702253895,-0.24298625246209496,8.026366378547355,7.3203438853006855
-0.22047967719428763,-0.25179308497270675,7.483938462732874,7.411517286433421
-0.24752520562669733,-0.26305865807944,7.433308482114916,7.916800010164828
-0.24709186521942894,-0.22859499566612812,7.918507974364131,7.194395919410729
-0.20712840321197404,-0.27628520168228177,6.975650256982154,7.928881064437899
-0.25358445184225076,-0.27638905138566017,7.851075650801052,7.867919009065843
-0.26594580651095756,-0.2890878529654231,8.068715588445178,7.906868908536695
-0.26501034483287395,-0.2929156235367366,8.046188390448282,8.084447377827727
-0.26639671060579134,-0.290156364148577,8.078808384088612,7.9646737564104715
-0.26639671060579134,-0.290156364148577,8.078808384088612,7.9646737564104715
-0.2556260529214316,-0.28092722719201996,7.96996112671567,7.993123495284444
-0.24191633700305135,-0.21003355932044177,7.4220425657404485,7.468471854690431
-0.25424322750401623,-0.2414469876675465,7.594978017904177,7.286072314474926
-0.23887395231768005,-0.22816592736853217,7.905026208327768,7.262415533238442
-0.2322127761330143,-0.2664380972634476,7.558285486495373,8.119417396533574
-0.25033338434631697,-0.2570908579864827,7.0611126704164535,8.28991623221292
-0.24012005843328543,-0.23949625242977615,7.26503620081867,7.697093643979065
-0.2170596223584983,-0.27479555824582463,7.397288738869434,7.633495576882603
-0.27375652019196844,-0.24418374250377728,7.987695193286704,7.4135828973426126
-0.22650446041722547,-0.25767402144981744,7.151627541932538,7.657127158353866
-0.22416883400668472,-0.25173811008307556,7.367685858498981,7.804456671320987
-0.22416883400668472,-0.25173811008307556,7.367685858498981,7.804456671320987
-0.26375125839366076,-0.22472779511933044,7.743367217464272,7.361431820203441
-0.27999998824952493,-0.27081719091336126,8.48193069236525,7.872886798208132
-0.215538721980429,-0.2664811301350587,8.272955475675769,6.618832842184033
-0.2205928106399601,-0.25624280344694583,7.847062003251755,7.258189712894155
-0.21828866154091572,-0.2510554318332454,7.888552774170473,7.312403743640307
-0.22630714367411983,-0.2842286536379968,7.353593132477166,7.975004818569759
-0.2724361438862265,-0.23538365515092816,8.075737475117066,7.435196316582784
-0.27704108297600594,-0.24897597206422614,8.153862397603989,7.210595159063727
-0.2166273508775379,-0.25626817154954273,7.024911559550766,7.712063567462084
-0.23458911272836222,-0.2628073061494405,7.692508228230924,7.574313089576458
-0.2493933352183039,-0.25199663042881876,7.792271864400923,7.174050054591181
-0.24934464207147328,-0.24686192909674076,7.504894499545814,7.538413614700232
-0.24529300852180655,-0.2645484927506843,7.5181478654369975,7.716273878317455
-0.25708271250378883,-0.23588916882032634,7.712206633554606,7.40755911574583
-0.25708271250378883,-0.23588916882032634,7.712206633554606,7.40755911574583
-0.2731788054322315,-0.22350117914889897,8.45752899766353,7.127944172811839
-0.266680677290277,-0.2231109579146104,8.084843837909615,7.182902371082477
-0.22910429598932874,-0.2629366220544704,7.285807707422024,7.770156186043962
-0.23204514840908969,-0.26611359422985653,7.436065518761625,7.818933358815368
-0.2622265354900645,-0.2188896586856903,7.646483527143721,7.340551142395983
-0.26933122642971835,-0.2782395011331603,7.8860516319131175,7.984548837515008
-0.30218571360625207,-0.22156279673412974,7.906421563946269,7.602638810414711
-0.28270630525852086,-0.21528297450270995,7.821152039610529,7.510368651547961
-0.2418664750266996,-0.2336228604328685,8.322474433533358,6.6929093027706035
-0.22689680073203164,-0.21438741269113082,7.929060210175041,6.830434483204127
-0.2417131239977758,-0.23734058078013076,7.34938938333998,7.816945669803156
-0.23098856954567376,-0.2360088444902901,7.437078050423158,7.252972638307043
-0.20641786759203506,-0.26081622744513455,7.393298155235141,7.416807358207464
-0.2387568087038186,-0.2385726398233367,7.273872585857502,7.65071985460614
-0.24852874827401028,-0.24428428408061417,7.8743047674484545,7.382094586008236
-0.23660566092459195,-0.2557151308620351,7.052507877329256,8.078367557667006
-0.27116897961343184,-0.24484792061003302,7.476758594624351,8.02924284552902
-0.23770039656723868,-0.24620753858859795,6.810986550725797,8.44903594329642
-0.20031321583525036,-0.23965634630862861,7.3664919654476915,7.1404468389176365
-0.2261190004730692,-0.2740018094364116,7.59448139783174,7.940766852985536
-0.251533680523195,-0.2801998812534807,7.9795979020651,7.553386314301879
-0.24988478659177124,-0.252021150287589,7.720709567135062,7.712179546549783
-0.2646368531386272,-0.24996036261704113,7.791907691858047,7.7289162228550605
-0.23375582189246005,-0.26656761377881405,7.711858454635903,7.24959218167697
-0.22517992618099836,-0.24650100043763395,7.366020196733321,7.389581493649427
-0.2202775754679287,-0.24802332093709864,7.492821876077657,7.411442101018198
-0.21662215316930894,-0.24424804247602408,7.485051587716228,7.405542286569656
-0.24012714932382603,-0.24032873000085528,7.395162814738684,7.678015673726324
-0.22673397079539387,-0.27631456264505866,7.393927591679026,7.752827156995967
-0.2623022423862805,-0.22387979760178858,7.529755679055291,7.431338005705711
-0.23849353736948625,-0.26312233334847934,7.8093216292340575,7.357648527992638
-0.25926866531790205,-0.2529659597209319,7.975099721662852,7.462506882269328
-0.25926866531790205,-0.2529659597209319,7.975099721662852,7.462506882269328
-0.24306823089807467,-0.29617004872260805,8.162531923293185,7.720563084149563
-0.2232330089209509,-0.27830542794199503,7.700941540443417,7.854182851344127
-0.2745702364095122,-0.2649867003946425,7.9990232389222,7.601738557583127
-0.27978824167363103,-0.24628165238576316,8.199966560227436,7.419769401987579
-0.22357710484008037,-0.2551055480248827,7.61688230814719,7.396960355683917
-0.22357710484008037,-0.2551055480248827,7.61688230814719,7.396960355683917
-0.2600075474404305,-0.24447360040798846,7.3093627362500415,8.0534850227388
-0.2524257286285893,-0.23635757828738763,7.807197530614479,7.539372312297185
-0.22974825724994027,-0.2624148100626781,7.088477699039528,8.110514158369384
-0.2281206552655365,-0.25323607740983944,7.578472307639548,7.427624412742911
-0.2594380909688056,-0.24457765909486176,8.228403289598589,7.156574078342528
-0.22451140571996753,-0.24363517366168394,6.726882616424386,8.06597983857527
-0.22451140571996753,-0.24363517366168394,6.726882616424386,8.06597983857527
-0.2694711015466877,-0.27274210697074486,7.713095432999567,8.149331231842877
-0.23734842985394855,-0.2874413376341114,7.676388231558112,7.742468595785255
-0.24168806604226029,-0.21940483565918864,7.871980681955345,7.228975963195192
-0.2915924802909342,-0.26078707320993083,7.312201218902533,8.407592535650656
-0.21098885529678132,-0.25494695133902834,7.566204440193835,6.906983182781255
-0.2763678617895021,-0.25082564707615784,7.990048170445782,7.74531732783511
-0.2763678617895021,-0.25082564707615784,7.990048170445782,7.74531732783511
-0.23083551939062955,-0.2394755393693961,8.261270576035693,6.933124725755377
-0.27151499962713055,-0.24737219234080493,7.8197990561632285,7.626891974486992
-0.25398411912530394,-0.22367500568781465,7.485453592085252,7.544298322747918
-0.24157913436191397,-0.22467639764314923,8.141391163138222,6.859581928752301
-0.25813921303067494,-0.2614943002604261,7.187856464829325,8.379410745686805
-0.25700638333448245,-0.24969798044050637,7.261317016833173,8.449237666470564
-0.23528685360032006,-0.2432245648020393,7.407779746978136,7.248424056058723
-0.25248225376132183,-0.24726893109646994,8.093885776098757,7.004456176666668
-0.24313830344089873,-0.2397345148589472,7.429515996784377,7.6685926268295255
-0.24045283269248105,-0.2601783697116611,7.760411251552914,7.5172026138956625
-0.25561272361534554,-0.2692545087822937,7.677962632709489,7.54629243585856
-0.25045541838664415,-0.21864305797752537,7.863438471171316,7.381512298372355
-0.2580098967902847,-0.22694972087734996,7.841096197500707,7.26383052801222
